study,year,journal,age,n_tot,group_type,b_w,n1,n2,m1,sd1,m2,sd2
1,2006,1,3,32,2,1,15,17,9.87,1.41,12.29,2.25
2,2009,1,3,38,6,2,38,38,21.87,4.09,21.95,4.67
3,2014,1,4,135,2,1,11,8,2.27,1.35,2.25,1.12
3,2014,1,4,135,2,1,8,11,2.38,1.06,2.82,1.4
3,2014,1,4,135,2,1,9,7,2.78,1.3,2.71,1.8
3,2014,1,4,135,2,1,7,9,1.71,1.5,1.78,0.89
3,2014,1,4,135,2,1,12,16,18.17,4.49,20.81,3.03
3,2014,1,4,135,2,1,18,16,18.63,4.13,20.81,3.03
3,2014,1,4,135,2,1,9,17,13.22,2.44,12.41,2.81
3,2014,1,4,135,2,1,8,17,13,2.39,12.41,2.81
3,2014,1,4,135,2,1,20,17,12.45,2.89,12.41,2.81
4,2006,1,3,30,2,1,10,10,7.8,3.55,7.1,1.52
4,2006,1,3,30,2,1,10,10,7.8,3.55,8.7,2.54
5,2012,1,3,87,2,1,36,51,5.22,2.6,7.75,2.7
6,2010,1,3,191,2,1,71,49,5.27,3.25,7.4,3.17
6,2010,1,3,191,2,1,71,49,5.62,3.28,7.4,3.17
7,2011,1,3,20,6,2,20,20,1.3,0.72,1.4,1.13
7,2011,1,3,20,6,2,20,20,1.3,0.72,1.8,1.22
7,2011,1,3,20,6,2,20,20,1.55,1.34,2.55,1.83
7,2011,1,3,20,6,2,20,20,1.55,1.34,3.4,1.85
7,2011,1,3,20,6,2,20,20,1.4,1.13,2.55,1.83
7,2011,1,3,20,6,2,20,20,1.8,1.22,3.4,1.85
7,2011,1,3,20,6,2,20,20,3.3,1.02,3.8,1.8
7,2011,1,3,20,6,2,20,20,3.3,1.02,4.1,1.66
7,2011,1,3,20,6,2,20,20,3.9,2,5.25,1.97
7,2011,1,3,20,6,2,20,20,3.9,2,6.35,1.64
7,2011,1,3,20,6,2,20,20,3.8,1.8,5.25,1.97
7,2011,1,3,20,6,2,20,20,4.1,1.66,6.35,1.64
8,2017,1,2,135,7,2,135,135,7.93,7.19,13.51,6.25
8,2017,1,2,135,7,2,135,135,0.35,0.67,1.27,2.08
8,2017,1,2,135,7,2,135,135,4.27,3.25,7.87,3.51
9,2009,1,3,146,2,1,70,76,16.1,2.86,18.42,3.86
9,2009,1,3,146,3,2,76,76,15.8,2.91,18.42,3.86
10,2014,1,1,98,2,1,44,46,9.9,4.1,13.4,2.7
10,2014,1,1,98,2,1,44,47,3.4,3,9.2,4.5
11,2007,1,2,58,2,1,17,18,9.76,1.39,9.89,1.41
11,2007,1,2,58,2,1,17,18,12.29,1.72,10.61,1.65
11,2007,1,2,58,2,1,17,18,5.35,0.79,5.44,1.04
11,2007,1,2,58,2,1,17,18,4.88,1.32,4.94,0.8
12,2015,1,2,98,7,2,98,98,6.38,2.17,6.43,2.05
12,2015,1,2,98,7,2,98,98,6.86,1.89,6.95,1.7
12,2015,1,2,98,7,2,98,98,6.41,1.77,6.59,1.65
12,2015,1,2,98,7,2,98,98,6.64,1.79,6.87,1.6
13,2010,1,4,26,7,2,26,26,11.5,2.56,12,2.61
13,2010,1,4,26,7,2,26,26,12.65,3.01,12.75,3.24
13,2010,1,4,26,3,2,26,26,8.45,2.04,11.5,2.56
13,2010,1,4,26,3,2,26,26,10.75,2.17,12.65,3.01
13,2010,1,4,26,3,2,26,26,8.1,2.24,12,2.61
13,2010,1,4,26,3,2,26,26,10.05,2.28,12.75,3.24
13,2010,1,4,26,7,2,26,26,11.5,2.56,12.65,3.01
13,2010,1,4,26,7,2,26,26,12,2.61,12.75,3.24
14,2014,1,3,240,2,1,34,69,2.98,2.05,4.79,2.3
14,2014,1,3,240,2,1,34,72,2.98,2.05,5.44,2.34
14,2014,1,3,240,2,1,69,72,4.79,2.3,5.44,2.34
14,2014,1,3,240,2,1,34,69,4.46,2.27,5.39,2.2
14,2014,1,3,240,2,1,34,72,4.46,2.27,5.84,2.4
14,2014,1,3,240,2,1,69,72,5.39,2.2,5.84,2.4
15,2014,1,3,35,7,2,14,14,1.07,1.14,0.79,1.05
15,2014,1,3,35,7,2,14,14,0.64,0.5,1.29,1.07
15,2014,1,3,35,7,2,21,21,1.67,0.8,2.52,1.21
15,2014,1,3,35,7,2,21,21,1.95,1.12,2.95,1.2
15,2014,1,3,35,7,2,14,14,0.64,0.5,1.64,1.22
